Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
ku̠.pina ‘Rubus fructicosus’ oder ursl. *ka̠mpī˙nā˙ > 12 *kampī̠˙nā˙ > 23 *kompī̠˙nā˙ usw. (wie oben),*kampī̠˙nā˙,,,,,,,,,,,,*kampī̠˙nā˙,,,,,,,,,,,*kompī̠˙nā˙,,,,,*kō˛pī̠˙nā˙,,,*kō˛pī̠˙na,,,,,,,,,,*ko˛pī̠˙na,,*ko˛pi̠na,,,,,*ku-pi̠na (so čak.),,,,,,,,,,,,,,,,,,,,,kr. ku̠.pina ‘Rubus fructicosus’ oder ursl. *ka̠mpī˙nā˙,,
"lā̠kat, G sg. lā̠kta",*alkuti,,,,,,,,,,,,,,,,,,,,*lākuti,,,,,*lākъtь,,,,,*lā̠kъtь,,,,,,,,,*lā̠kьtь,,,,,,,,,,*lā̠kьt,,,,,,"lā̠kat, G sg. lā̠kta",,,,,,,,,,,,,,,,
†lā̠kti: bei Marin Držić dvije lakti (s,*alkutī,,,,,,,,,,,,,,,,,,,,*lākutī,,,,,*lākъtī,,,,,*lā̠kъtī,*lā̠kъti,,,,,,,,*lā̠kьti,,,,,,,,,,†lā̠kti: bei Marin Držić dvije lakti (s,,,,,,,,,,,,,,,,,,,,,,
"la̠ne, G sg. la̠neta ‘Reh- oder Hirschkalb’",*a̠l˙nen˙,,,,,,,,,,*lā̠˙nen˙,,,,,,,,,,,,,,,,,,*lā̠˙nę˙,,,*lā̠˙nę,,,,,,,,,,,,*la̠nę,,,,,"la̠ne, G sg. la̠neta ‘Reh- oder Hirschkalb’",,,,,,,,,,,,,,,,,,,,,,,
lē̠d,*ledu,,,,,,,,,,,,,,,,,,,,,,,,,*ledъ,,,,*lēdъ,*lē̠dъ,,,,,,,,,*lē̠dь,,,,,,,,,,lē̠d,,,,,,,,,,,,,,,,,,,,,,
le̠da,*ledā,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*le̠dā,le̠da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lī̠.ce,*le̠jka,*le̠jt´a,*le̠jt´e,*lī̠t´e,,,,,,,,,*līt´e̠,,,,*līce̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lī̠.ce,,
lu̠.kav,*lankā̠˙wu,,,,,,*lankā̠˙βu,,,,,,,,,,,,,,,,,*lonkā̠˙βu,,*lonkā̠˙βъ,,,*lō˛kā̠˙βъ,,,,,,,,,,,*lō˛kā̠˙βь,,*lo˛kā̠˙βь,,*lo˛ka̠βь,,,,,*luka̠βь,*luka̠β> 69 *lu̠.-kaβ,,,,,,,,,,,,,,,,,,,,,lu̠.kav,
l´e̠to,*lē̠˙ta,,,,,,,,,,,,,,,,,,,,,,,*lē̠˙to,*l ě̠˙to,,,,,,,,,,,,,,,,,,,*lě̠to,,,,,,,,,,,,,,,,,*lıe̠to,,,,,l´e̠to,,,,,,
l´ū̠bl´en,*lja̠wbjenu,,,*ljō̠bjenu,,,,,*ljō̠bljenu,,,,*ljōblje̠nu,,,,,*ljūblje̠nu,,,,,,,,*ljūblje̠nъ,,,,,,,,*l´ūbl´ē̠nъ,,,*l´ū̠·bl´ēnъ (ē analog zu den Akzentparadigmata a und c wieder gekürzt),,,*l´ū̠·bl´enь,,,,,,,,,,*l´ū̠·bl´en (vgl. čak. jū̠·bjen),,,,,,,,,,,,,,,,,,,l´ū̠bl´en,,,
ma̠.lina,*mālī̠˙nā˙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*mālī̠˙na,,,,,,,,,,*malī̠˙na,,*mali̠na,,,,,,,,,,,,,,,,,,,,,,,,,,ma̠.lina,,
me̠.d-a,*medjā̠˙,,*medjē̠˙,,*medjā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,,,*med-ja̠,,"*med´a̠ (die Kortlandtsche Ersatzdehnung wurde im Akzentparadigma c bereits vor dem Wirken des Ersten Ivšićschen Gesetzes, § 36, analogisch wieder rückgängig gemacht, s. Holzer Prosodie 52)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*me̠.d´a,,me̠.d-a
mī̠,*mū˙,,,,,,,,,,,*mū,,,,*my,,,,,,,,,,,,,,,*my̠,,,,,,,,mī̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi̠šjī,*mū̠˙šijuju (= Possessivadjektiv *mū̠˙šiju + Pronomen *ju),,*mū̠˙šijiji,,,,,,,,,,,,,*my̠˙šijiji,,,,,,,,,,*my̠˙šьjьjь,,,,,,,*my̠˙šьjī,,,,,,*mī̠˙šьjī,,,,,*mi̠šьjī,,,,,,mi̠šjī,,,,,,,,,,,,,,,,,,,,,,
mī̠šl´u (zu N sg. mī̠sao),*mū˙slijān˙,,*mū˙slijēn˙,,*mū˙slijān˙,,,,,,,*mūslijān,,,,*myslijān,,,,,,,*myslijan,*myslijon,,*myslьjon,,,*myslьjō˛,,*my̠slьjō˛,*my̠slьjo˛,,,,,,,*mī̠slьjo˛,,,,,,,,,,*mī̠slьju,*mī̠slju,,,,,,,,,,,,,,,,mī̠šl´u (zu N sg. mī̠sao),,,,,,
mje̠sēc,*mē̠˙sinku,*mē̠˙sińt´u,*mē̠˙sińt´i,,,,,,,,,,,,,,*mē̠˙sinci,,,,,,,,*mě̠˙sinci,*mě̠˙sьncь,,,*mě̠˙sęcь,,,,,,,,,,,,,,,*mě̠sęcь,,,,,*mě̠sēcь,*mě̠sēc,,,,,,,,,,,*mıe̠sēc,,,,,,mje̠sēc,,,,,
mje-̠sečnī,*mē̠˙sińčinuju,,*mē̠˙sińčinuji,,,,,,,,,,,,,,,,,,,,,,*mě̠˙sińčinuji,*mě̠˙sьńčьnъjь,,,*mě̠˙sęčьnъjь,,,,*mě̠˙sęčьny,,,,,,*mě̠˙sęčьnī,,,,*mě̠˙sęčьnī,*mě̠sęčьnī,,,,,*mě̠sečьnī,*mě̠sečnī,,,,,,,,,,,*mıe̠sečnī,,,,,,mje-̠sečnī,,,,,
"dial. mladī̠, mladā̠, mladō̠ (s. Kapović Length 34); standardkr. in einer analogischen Angleichung an das Akzentparadigma b, die vor der in § 41 beschriebenen Kürzung stattgefunden haben muss: mlā̠dī",*malduju̠,,*malduji̠,,,,,,,,,,,,,,,,,,*mlāduji̠,,,,,*mlādъjь̠,,,,,,,*mlādy̠·,,,,,,*mlādī̠·,,,*mladī̠·,,,,,,,,,,,,,,,,,,,,,,,,,,,"dial. mladī̠, mladā̠, mladō̠ (s. Kapović Length 34); standardkr. in einer analogischen Angleichung an das Akzentparadigma b, die vor der in § 41 beschriebenen Kürzung stattgefunden haben muss: mlā̠dī",,,
mla̠dōst,*maldasti,,,,,,,,,,,,,,,,,,,,*mlādasti,,,*mlādosti,,*mlādostь,,,,*mlā-dōstь,*mlā̠dōstь,,,,,,,,,,,,,,*mla̠dōstь,,,,,mla̠dōst,,,,,,,,,,,,,,,,,,,,,,
mlā̠tī,*ma̠ltejti,,,*ma̠ltīti,,,,,,,,,*maltī̠ti,,,,,,,,*mlātī̠ti,,,,,*mlātī̠tь,,,,,,,,,,,*mlā̠·tītь,,,,,,,,,,,,,"*mlā̠·tīt, daraus durch irregulären Abfall des -t: *mlā̠·tī (so čak.)",,,,,,,,,,,,,,,,,,,mlā̠tī,,,
mlıē̠.ko,*me̠lka,,,,,,,,,,,,*melka̠,,,,,,,,*mlēka̠,,,*mlēko̠,*mlěko̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*mlıēko̠,,,,,,,,,mlıē̠.ko,,
"mō̠ć, G sg. mo̠ći",*makti,,,,,,,,,,,,,*mak´t´i,,,,,,,,,,*mok´t´i,,*mok´t´ь,,,,*mōk´t´ь,*mō̠k´t´ь,,,,*mō̠t´ь,,,,,,,,,,,,,,,*mō̠t´,,,,,,,,,,,,,,,,,,,,,,"mō̠ć, G sg. mo̠ći"
mo̠.ći,*ma̠ktēj,,,*ma̠ktī,,,,,,,,,*maktī̠,*mak´t´ī̠,,,,,,,,,,*mok´t´ī̠,,,,,,,,*mok´t´i̠,,,*mot´i̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*mo̠.t´i,,mo̠.ći
mo̠gao. Lehfeldt Einführung 62: Akzentparadigma b,*ma̠glu,,,,,,,,,,,,*maglu̠,,,,,,,,,,,*moglu̠,,*moglъ̠,"*mogьlъ̠, daraus analogisch (z. B. nach dem Femininum *moglā̠˙) wieder *moglъ̠",,,,,,,,,,,*mo̠glъ,,*mo̠glь,,,,,,,*mo̠gьlь,,,*mo̠gьl,,,,,,*mo̠gal,,,,,,,,,mo̠gao. Lehfeldt Einführung 62: Akzentparadigma b,,,,,,,
mō̠j,*ma̠ju,,*ma̠ji,,,,,,,,,,,,,,,,,,,,,*mo̠ji,,*mo̠jь,,,,,,,,,,,,,,,,,,,,,,,,*mo̠j,,,,,,,,,,,,,,,,,,mō̠j,,,,
mo̠.ja,*ma̠jā˙,,*ma̠jē˙,,*ma̠jā˙,,,,,,,,*ma̠jā̠˙,,,,,,,,,,,*mo̠jā̠˙,,,,,,,,*mo̠ja̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo̠.ja,,
mo̠.je,*ma̠ja,,*ma̠je,,,,,,,,,,*maje̠,,,,,,,,,,,*mo̠je̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo̠.je,,
mu̠čan ‘mühsam’,*ma̠ń˙činu,,,,,,,,,,,,,,,,,,,,,,,*mo̠ń˙činu,,*mo̠ń˙čьnъ,,,*m̠ō˛˙čьnъ,,,,,,,,,,,*m̠ō˛˙čьnь,,,,*m̠o˛čьnь,,,,,*mu̠čьnь,*mu̠čьn,,,,,,mu̠čan ‘mühsam’,,,,,,,,,,,,,,,,
mu̠ka ‘Mühe’,*ma̠n˙kā˙,,,,,,,,,,,,,,,,,,,,,,,*mo̠n˙kā˙,,,,,*m̠ō˛˙kā˙,,,*m̠ō˛˙ka,,,,,,,,,,,,*m̠o˛ka,,,,,mu̠ka ‘Mühe’,,,,,,,,,,,,,,,,,,,,,,,
"nā̠.ći, heute nā̠ći . Mindestens bis nach der j-Prothese (§ 21) verhielten sich Verb und Präverb wie zwei getrennte Wörter, weil sonst keine j-Pro-these möglich gewesen wäre",*nā i̠tēj,,,*nā i̠tī,,,,,,,,,*nā itī̠,,,,,,,,,*nā jitī̠,,,,*nājьtī̠,,,,,,*nājьti̠,,,,,,,,,,,,,,,,,,*nājti̠,,,,,,,,,,,,,,,,*nāt´i̠,,,,*nā̠.t´i,,"nā̠.ći, heute nā̠ći . Mindestens bis nach der j-Prothese (§ 21) verhielten sich Verb und Präverb wie zwei getrennte Wörter, weil sonst keine j-Pro-these möglich gewesen wäre"
nā̠. d-i. Zur Univerbierung siehe oben unter náći,*nā i̠duj˙,,,*nā i̠dī˙,,,,,,,,,*nā idī̠˙,,,,,,,,,*nā jidī̠˙,,,,*nājьdī̠˙,,,,,,*nājьdi̠,,,,,,,,,,,,,,,,,,*nājdi̠,,,,,,,,,,,,,,,,*nād´i̠,,,,*nā̠.d´i,,nā̠. d-i. Zur Univerbierung siehe oben unter náći
na̠ glāvu,*nā gal˙wān,,,,,,*nā gal˙βān,,,,,*nā galβān,,,,,,,,,*nā glāβān,,*nā glāβan,*nā glāβon,,,,,*nā glāβō˛,,*nā̠ glāβō˛,*nā̠ glāβo˛,,,,,,,,,,,,,*na̠ glāβo˛,,,,*na̠ glāβu,,,,,,,,,,,,,,,,,,,,,,na̠ glāvu,
na̠ nogu,*nā nagān,,,,,,,,,,,,,,,,,,,,,,*nā nagan,*nā nogon,,,,,*nā nogō˛,,*nā̠ nogō˛,*nā̠ nogo˛,,,,,,,,,,,,,*na̠ nogo˛,,,,na̠ nogu,,,,,,,,,,,,,,,,,,,,,,,
"ne̠bo, NA pl. ne̠ba und nebe̠.sa",*neba,,,,,,,,,,,,,,,,,,,,,,,*nebo,,,,,,,"ne̠bo, NA pl. ne̠ba und nebe̠.sa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"nō̠ć, G sg. no̠ći",*nakti,,,,,,,,,,,,,*nak´t´i,,,,,,,,,,*nok´t´i,,*nok´t´ь,,,,*nōk´t´ь,*nō̠k´t´ь,,,,*nō̠t´ь,,,,,,,,,,,,,,,*nō̠t´,,,,,,,,,,,,,,,,,,,,,,"nō̠ć, G sg. no̠ći"
no̠ću ,*naktijān˙,,*naktijēn˙,,*naktijān˙,,,,,,,*naktijān,,*nak´t´i-jān,,,,,,,,,*nak´t´ijan,*nok´t´ijon,,*nok´t´ьjon,,,*nok´t´ьjō˛,,*no̠k´t´ьjō˛,*no̠k´t´ьjo˛,,,*no̠t´ьjo˛,,,,,,,,,,,,,,*no-̠t´ьju,*no̠t´ju,,,,,,,,,,,,,,,,*no̠t´u,,,,,,no̠ću 
no̠gat und mit aus anderen Kasus wie dem Genitiv no̠kta (siehe dort) übernommenem k kr. no̠kat,*naguti,,,,,,,,,,,,,,,,,,,,,,,*noguti,,*nogъtь,,,,,*no̠gъtь,,,,,,,,,*no̠gьtь,,,,,,,,,,*no̠gьt,,,,,,no̠gat und mit aus anderen Kasus wie dem Genitiv no̠kta (siehe dort) übernommenem k kr. no̠kat,,,,,,,,,,,,,,,,
ńe̠.mica ‘die Stumme’,*nēmī̠˙kā˙,*nēmī̠˙t´ā˙,*nēmī̠˙t´ē,,*nēmī̠˙t´ā˙,,,,,,,,,,,,*nēmī̠˙cā˙,,,,,,,,*němī̠˙cā˙,,,,,,,*němī̠˙ca,,,,,,,,,,*němī̠˙ca,,*němi̠ca,,,,,,,,,,,,,,,,,*nıemi̠ca,,,,,*ńemi̠ca,,,,ńe̠.mica ‘die Stumme’,,
o̠.ca,*ati̠kā,*ati̠t´ā,*ati̠t´ē,,*ati̠t´ā,,,,,,,,*atit´ā̠,,,,*aticā̠,,,,,,,*oticā̠,,*otьcā̠,,,,,,*otьca̠,,,,,,,,,,,,,,,,,,*otca̠,,,*oca̠,,,,,,,,,,,,,,,,,o̠.ca,,
o̠gań ,*a̠gńi ,,,,,,,,,,,,*agńi̠,,,,,,,,,,,*ogńi̠,,*ogńь̠,"*ogьńь̠, daraus analogisch (nach den nicht auf -ь auslautenden Kasus) wieder *ogń ь̠",,,,,,,,,,,*o̠gńь,,,,,,,,,*o̠gьńь,,,*o̠gьń,,,,,,o̠gań ,,,,,,,,,,,,,,,,
o̠ko,*aka,,,,,,,,,,,,,,,,,,,,,,,*oko,,,,,,,o̠ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
olū̠.ja,*ala̠wjā˙,,*ala̠wjē˙,*alō̠jē˙,*alō̠jā˙,,,,,,,,*alōjā̠˙,,,,,*alūjā̠˙,,,,,,*olūjā̠˙,,,,,,,,*olūja̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olū̠.ja,,
ō̠s (G sg. ana-logisch ō̠si) fem. ‘Achse’,*asi,,,,,,,,,,,,,,,,,,,,,,,*osi,,*osь,,,,*ōsь,*ō̠sь,,,,,,,,,,,,,,,,,,,ō̠s (G sg. ana-logisch ō̠si) fem. ‘Achse’,,,,,,,,,,,,,,,,,,,,,,
o̠.snōvno,*a̠snawina,,,,,,*a̠snaβina,,,,,,*asna̠βina,,,,,,,,,,,*osno̠βino,,*osno̠βьno,,,,,,,,,,,,,,,,,,,,,,,,*osno̠βno,,,,,,,,,,,,,,,,,,*osnō̠βno,,*o̠.snōβno,o̠.snōvno,
o̠.tac,*ati̠ku,*ati̠t´u,*ati̠t´i,,,,,,,,,,*atit´i̠,,,,*atici̠,,,,,,,*otici̠,,*otьcь̠,,,,,,,,,,,,*otь̠cь,,,,,,,,,,,,*otь̠c,,,,,,*ota̠c,,,,,,,,,,,,,,o̠.tac,,
ō̠.vca,*awi̠kā˙,*awi̠t´ā˙,*awi̠t´ē˙,,*awi̠t´ā˙,,*aβi̠t´ā˙,,,,,,*aβit´ā̠˙,,,,*aβicā̠˙,,,,,,,*oβicā̠˙,,*oβьcā̠˙,,,,,,*oβьca̠,,,,,,,,,,,,,,,,,,*oβca̠,,,,,,,,,,,,,,,,,,*ōβca̠,,*ō̠.βca,ō̠.vca,
"o̠.žujak, G sg. o̠.žūjka (zur Dehnung siehe § 67)",*ludžja̠w˙juku,,*lu̠džjew˙jiku,*lu̠džjō˙jiku,,,,,,,,,*ludžjō̠˙jiku),,,,,*ludžjū̠˙jiku,*lužjū̠˙jiku,,,,,,,*lъžjū̠˙jьkъ,,*lžjū̠˙jьkъ > *ožjū̠˙jьkъ (s. § 27),,,,,,*ožū̠˙jьkъ,,,,,,*ožū̠˙jьkь,,,,*ožu̠jьkь,,,,,,*ožu̠jьk,,,,,,*ožu̠jak,,,,,,,,,,,,,,"o̠.žujak, G sg. o̠.žūjka (zur Dehnung siehe § 67)",,
pa̠metan,*pā̠˙mintinu,,,,,,,,,,,,,,,,,,,,,,,,,*pā̠˙mьntьnъ,,,*pā̠˙-mętьnъ,,,,,,,,,,,*pā̠˙mętьnь,,,*pā̠˙mętьnь,*pa̠mętьnь,,,,,*pa̠metьnь,*pa̠metьn,,,,,,pa̠metan,,,,,,,,,,,,,,,,
pa̠o,*pā̠˙dlu,,,,,,,,,,,,,,,,,,,*pā̠˙lu,,,,,,*pā̠˙lъ,,,,,,,,,,,,,,*pa̠lь,,,,*pa̠lъ,,,,,,*pa̠l,,,,,,,,,,,,,,,pa̠o,,,,,,,
pā̠s,*pajā˙su,,*pajē˙su,,*pajā˙su,,,,,,,*pajāsu,,,,,,,,,,,,*pojāsu,,*po-jāsъ,,,,,*po̠jāsъ,,*pā̠sъ,,,,,,,*pā̠sь,,,,,,,,,,pā̠s,,,,,,,,,,,,,,,,,,,,,,
pa̠sjī,*pi̠sijuju (= Possessivadjektiv *pi̠siju + Pronomen *ju),,*pi̠sijiji,,,,,,,,,,*pisi̠jiji,,,,,,,,,,,,,*pьsь̠jьjь,,,,,,,*pьsь̠jī,,,,,*pь̠sьjī,,,,,,,,,,,,"*pь̠sjī (vgl. 1080 pissi, siehe § 25)",,,,,,pa̠sjī,,,,,,,,,,,,,,,,
pī̠šē,*pe̠jsjeti,,,*pī̠sjeti,,,,,,,,,*pīsje̠ti,,,,,,,,,,,,,*pīsje̠tь,,,,,,,,*pīšē̠-tь,,,*pī̠·šētь,,,,,,,,,,,,,"*pī̠·šēt, daraus durch irregulären Abfall des -t: *pī̠·šē",,,,,,,,,,,,,,,,,,,pī̠šē,,,
ple̠o,*ple̠tlu,,,,,,,,,,,,*pletlu̠,,,,,,,*plelu̠,,,,,,*plelъ̠,,,,,,,,,,,,*ple̠lъ,,*ple̠lь,,,,,,,,,,*ple̠l,,,,,,,,,,,,,,,ple̠o,,,,,,,
"plō̠t, G sg. plo̠ta (auf Susak plota̠)",*plaktu,,,,,,,,,,,,,,*platu,,,,,,,,,*plotu,,*plotъ,,,,*plōtъ,*plō̠tъ,,,,,,,,,*plō̠tь,,,,,,,,,,"plō̠t, G sg. plo̠ta (auf Susak plota̠)",,,,,,,,,,,,,,,,,,,,,,
po̠jās,*pajā˙su,,*pajē˙su,,*pajā˙su,,,,,,,*pajāsu,,,,,,,,,,,,*pojāsu,,*po-jāsъ,,,,,*po̠jāsъ,,,,,,,,,*po̠jāsь,,,,,,,,,,po̠jās,,,,,,,,,,,,,,,,,,,,,,
po̠l´e,*palja,,*palje,,,,,,,,,,,,,,,,,,,,,*polje,,,,,,,*po̠lje,,,po̠l´e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pō̠t, G sg. po̠ta",*paktu,,,,,,,,,,,,,,*patu,,,,,,,,,*potu,,*potъ,,,,*pōtъ,*pō̠tъ,,,,,,,,,*pō̠tь,,,,,,,,,,"pō̠t, G sg. po̠ta",,,,,,,,,,,,,,,,,,,,,,
po̠.zdravl´ati,*pasuda̠r˙wjā˙tēj,,*pasu-da̠r˙wjē˙tēj,*pasuda̠r˙wjē˙tī,*pasuda̠r˙w-jā˙tī,,*pasuda̠r˙βjā˙tī,,*pasuda̠r˙βljā˙tī,,,,,,,,,,,,*pasudrā̠˙βljā˙tī,,,*posudrā̠˙βljā˙tī,,*posъdrā̠˙β-ljā˙tī,,,,,,*posъdrā̠˙βljā˙ti,,*posъdrā̠˙βl´ā˙ti,,,,,,*posьdrā̠˙βl´ā˙ti,,,,*posьdra̠β-l´ati,,,,,,*posdra̠βl´ati,,*pozdra̠βl´ati,,,,,,,,,,,,,,,,,,*po̠.zdraβl´ati,po̠.zdravl´ati,
pra̠seta (mit analogischer Übernahme der Endung der o-Stämme). NA sg. prā̠se,*parsen˙te,,,,,,,,,,,,,,,,,,,,*prāsen˙te,,,,,,,,*prāsę˙te,,*prā̠sę˙te,,,,,,,,,,,,,*prā̠sęte,*pra̠sęte,,,,pra̠seta (mit analogischer Übernahme der Endung der o-Stämme). NA sg. prā̠se,,,,,,,,,,,,,,,,,,,,,,,
"pū̠k, G sg. pū̠ka",*pulku,,,,,,,,,,,,,,,,,,,,,,,,,*pъlkъ,,*plkъ,,,*p̠lkъ,,,,,,,,,*p̠lkь,,,,,,,,,,*p̠lk,,,,,,,,,,,,,"pū̠k, G sg. pū̠ka",,,,,,,,,
ra̠.kita oder ursl. *a̠rkū˙tā˙ > 12 *arkū̠˙tā˙ > 15 *arky̠˙tā˙ usw. (wie oben),*arkū̠˙tā˙,,,,,,,,,,,,*arkū̠˙tā˙,,,*arky̠˙tā˙,,,,,*rāky̠˙tā˙,,,,,,,,,,,*rāky̠˙ta,,,,,,,*rākī̠˙ta,,,*rakī̠˙ta,,*ra-ki̠ta,,,,,,,,,,,,,,,,,,,,,,,,,,kr. ra̠.kita oder ursl. *a̠rkū˙tā˙,,
"ra̠lo ‘Pflug’ (Istrien, Vrbnik)",*a̠r˙dla,,,,,,,,,,*rā̠˙dla,,,,,,,,,*rā̠˙la,,,,*rā̠˙lo,,,,,,,,,,,,,,,,,,,,"ra̠lo ‘Pflug’ (Istrien, Vrbnik)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ra̠ńen,*rā̠˙njenu,,,,,,,,,,,,,,,,,,,,,,,,,*rā̠˙njenъ,,,,,,,,*rā̠˙ńenъ,,,,,,*rā̠˙ńenь,,,,*ra̠ńenь,,,,,,ra̠ńen,,,,,,,,,,,,,,,,,,,,,,
ra̠.taj ‘Pflüger’ ,*ar˙t ā̠˙ju (vgl. lit. artójas),,*a̠r˙tāji,,,,,,,,*rā̠˙tāji,*rātā̠˙ji,,,,,,,,,,,,,,*rā̠˙tājь,,,,,,,,,,,,,,,,*ratā̠˙jь,,*ra̠-tājь,,,,,,*ra-ta̠j,,,,,,,,,,,,,,,,,,,,kr. ra̠.taj ‘Pflüger’ . Siehe ARj XIII 398 f. Das čakavische rā̠·toj (siehe Šimunović Rječnik 493) ist auf ein älteres *ra̠tāj zurückzuführen (zu Dehnung und Neoakut siehe oben Brk`àta und môž) und somit auf die auch im Russischen bezeugte urslavische Nebenform *a̠r˙tāju (siehe dazu Holzer Prosodie 43 f.): ursl. *a̠r˙tāju,,
"re̠.ći, heute re̠ći (s. náći)",*re̠ktēj,,,*re̠ktī,,,,,,,,,*rektī̠,*rek´-t´ī̠,,,,,,,,,,,,,,,,,,*rek´t´i̠,,,*ret´i̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*re̠.t´i,,"re̠.ći, heute re̠ći (s. náći)"
ri̠ba,*rū̠˙bā˙,,,,,,,,,,,,,,,*ry̠˙bā˙,,,,,,,,,,,,,,,,*ry̠˙ba,,,,,,,*rī̠˙ba,,,,,ri̠ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rō̠g,*ragu,,,,,,,,,,,,*ragā̠,,,,,,,,,,,*rogā̠,,*rogъ,,,,*rōgъ,*rō-̠gъ,*roga̠,,,,,,,,*rō̠gь,,,,,,,,,,"kr. rō̠g. Ursprünglich Akzentparadigma d, der G sg. lautete da-her ursl. *ra̠gā",,,,,,,,,,,,,,,,,,,,,,
"r̠t, G sg. r̠ta, daraus durch mundartliche Kürzung des r (s. oben K`r`k) oder durch Angleichung des NA sg. an die anderen Kasus: r̠t, G sg. r̠ta",*rutu,,,,,,,,,,,,,,,,,,,,,,,,,*rъtъ (vgl. 1080 rit — s. § 25),,*rtъ,,* rtъ,* r̠tъ,,,,,,,,,*r̠tь,,,,,,,,,,"r̠t, G sg. r̠ta, daraus durch mundartliche Kürzung des r (s. oben K`r`k) oder durch Angleichung des NA sg. an die anderen Kasus: r̠t, G sg. r̠ta",,,,,,,,,,,,,,,,,,,,,,
rū̠jan,*rjaw˙jinu,,*rjew˙jinu,*rjō˙jinu,,,,,,,,*rjō-jinu,,,,,,*rjūjinu,,,,,,,,*rjūjьnъ,,,,,*rjū̠jьnъ,,,*r’ū̠jьnъ,,,,,,*r’ū̠jьnь,,,,,,,,,,*r’ū̠jьn,,,,,,*r’ū̠jan,,,,,,rū̠jan,,,,,,,,,,
rū̠ku,*rankān,,,,,,,,,,,,,,,,,,,,,,*rankan,*ronkon,,,,,*rō˛kō˛,,*r̠ō˛kō˛,*r̠ō˛ko˛,,,,,,,,,,,,,,,,,rū̠ku,,,,,,,,,,,,,,,,,,,,,,,
sa̠n,*su̠nu,,,,,,,,,,,,*sunu̠,,,,,,,,,,,,,*sъnъ̠,,,,,,,,,,,,*sъ̠nъ,,*sь̠nь,,,,,,,,,,*sь̠n,,,,,,sa̠n,,,,,,,,,,,,,,,,
si̠jati,*sē̠˙jā˙tēj,,*sē̠˙jē˙tēj,*sē̠˙jē˙tī,*sē̠˙jā˙tī,,,,,,,,,,,,,,,,,,,,*sě̠˙jā˙tī,,,,,,,*sě̠˙jā˙ti,,,,,,,,,,,,*sě̠jati,,,,,,,,,,,,,,,si̠jati,,,,,,,,,,,,,
sī̠n,*sū˙nu,,,,,,,,,,,*sūnu,,,,*synu,,,,,,,,,,*synъ,,,,,*sy̠nъ,,,,,,,,*sī̠nъ,*sī̠nь,,,,,,,,,,sī̠n,,,,,,,,,,,,,,,,,,,,,,
sja̠ti,*sijā̠˙tēj,,*sijē̠˙tēj,*sijē̠˙tī,*sijā̠˙tī,,,,,,,,,,,,,,,,,,,,,*sьjā̠˙tī,,,,,,*sьjā̠˙ti,,,,,,,,,,,,*sьja̠ti,,,,,,sja̠ti,,,,,,,,,,,,,,,,,,,,,,
sje̠.dio,*sē˙dē̠˙lu,,,,,,,,,,,,,,,,,,,,,,,,*sě˙d ě̠˙lu,*sě˙d ě̠˙lъ,,,,,,,,,,,,,,*sě˙d ě̠˙lь,,,,*sěd ě̠lь,,,,,,*sědě̠l,,,,,,,,*sě-di̠l,,,*sıedi̠l,,,,*sıedi̠o,,*sjedi̠o,,,sje̠.dio,,
sje̠.djeti,*sē˙dē̠˙tēj,,,*sē˙dē̠˙tī,,,,,,,,,,,,,,,,,,,,,*sě˙dě̠˙tī,,,,,,,*sě˙dě̠˙ti,,,,,,,,,,*sě˙dě̠˙ti,,*sědě̠ti,,,,,,,,,,,,,,,,,*sıedıe̠ti,,,,,,*sjedje̠ti,,,sje̠.djeti,,
