russian,proto_slavic,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,russian_alt,cf,loanwords
голодa̠ем,*galdā̠˙jemu,,,,,,,,,,,,,,,,,,,,,,*galadā̠˙jemu,*golodā̠˙jemu,,,,*golodā̠˙jemъ,,,,,,,*golodā̠˙jemъ1,,,*golodā̠jemъ1,,,,,,,,,,,*golodā̠jem,,,,,,,,,,,,,,,,,*goloda̠jem,,gəlʌda̠jɪm,,,,,gəlʌda̠jɪm,vgl. гo̠лод,
гo̠рло,*gu̠r˙dla,,,,,,,,,,,,,,,,,,,,*gu̠r˙la,,,*gu̠r˙lo,,,,*gъ̠r˙lo,,,,,,,*gъ̠2r˙lo,,,*gъ̠2rlo,,,,,,,,,,,,,,,*go̠rlo,,,,,,,,,,,,,,,go̠rlə,,,,,go̠rlə,,
гo̠род,*gardu,,,,,,,,,,,,,,,,,,,,,,*garadu,*gorodu,,,,*gorodъ,,,,,,,*gorodъ1,,,,,,,,,,,,,,*gorod,,,,,*go̠rod,,,*go̠rot,,,,,,,,,,,go̠rət,,,,,go̠rət,,
горькa̠,*garikā̠˙,,,,,,,,,,,,,,,,,,,,,,,*gorikā̠˙,,,,*gorьkā̠˙,*gorьka̠,,,*gorʼьka̠,,,*gorʼь1ka̠,,,,,,,,,,,,,,*gorʼka̠,,,,,,,,,,,,,,,,,,,gʌrʼka̠,,,,,gʌrʼka̠,,
гумнo̠,*gawmi̠na,,,*gọ̄mi̠na,,,,,,,,*gọ̄mina̠,,,,,,,,,,,,*gọ̄mino̠,,,,*gọ̄mьno̠,,,,*gọ̄mʼьno̠,,,*gọ̄mʼь1no̠,,,,*gūmʼь1no̠,,,,,,*gūmʼь1nô̠,,,,*gūmʼnô̠,,,,,,,,,,,,,*gūmnô̠,,,,*gumnô̠,,,,,,gumno̠,gumno̠,,
дa̠м,*dā˙mi,,,,,,,,,,,,*dāmi,,,,,,,,,,,,,,,*dāmь,,,,*dāmʼь,,,*dāmʼь1,,,,,,,,,,,,,,*dāmʼ,,,,,*dā̠mʼ,,,,,*dā̠m,,,,,,,da̠m,,,,,,,da̠m,"vgl. mit Präfix прo̠дал, продалa̠, продался̠, прo̠дан, проданa̠",
двo̠р,*dwa̠ru,,,,,,,,,,,*dwaru̠,,,,,,,,,,,,*dworu̠,,,,*dworъ̠,,,,,,,*dworъ̠1,,*dwo̠rъ1,,,,,,,,*dwô̠rъ1,,,,*dwô̠r,,,,,,,*dvô̠r,,,,,,,,,,,,,,,,dvo̠r,dvo̠r,,
дe̠нь,*dini,,,,,,,,,,,,,,,,,,,,,,,,,,,*dьnь,,,,*dʼьnʼь,,,*dʼь2nʼь1,,,,,,,,,,,,,,*dʼь2nʼ,,,,*dʼenʼ,dʼe̠nʼ,,,,,,,,,,,,,,,,,,,dʼe̠nʼ,vgl. днё̠м,
дитя̠,*dē˙tē̠n,,,,,,,,,,,,*dētē̠n,,,*dēte̠n,,,,,,,,,,*dētę̠̄,*dě̄tę̠̄,,*dě̄tę̠,,,*dʼě̄tʼę̠,*dʼě̄tʼa̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*dʼětʼa̠,dʼitʼa̠,,,,,,dʼitʼa̠,,
днё̠м,*dini̠mi,,,,,,,,,,,*dinimi̠,,,,,,,,,,,,,,,,*dьnьmь̠,,,,*dʼьnʼьmʼь̠,,,*dʼь1nʼь2mʼь̠1,,*dʼь1nʼь̠2mʼь1,,,,,,,,,,,,*dʼnʼь̠2mʼ,,,,dʼnʼe̠mʼ,,,,,,dʼnʼe̠m,dʼnʼo̠m,,,,,,,,,,,,,dʼnʼo̠m,vgl. дe̠нь,
добё̠р,*da̠bru,,,,,,,,,,,*dabru̠,,,,,,,,,,,,*dobru̠,,,,*dobrъ̠,,,*dobьrъ̠,*dobʼьrъ̠,,,*dobʼь2rъ̠1,,*dobʼь̠2rъ1,,,,,,,,,,,,*dobʼь̠2r,,,,*dobʼe̠r,,,,,,,*dobʼo̠r,,,,,,,,dʌbʼo̠r,,,,,dʌbʼo̠r,,
дo̠ждь,*du̠zdju,,*du̠zdji,,,,,,,,,*duzdji̠,,,,,,,*duždˊji̠,,,*duždžji̠,,,,,,*dъždžjь̠,,*dъždžь̠,,,,,*dъ2ždžь̠1,,*dъ̠2ždžь1,,,,,,,,,,,,*dъ̠2ždž,,,,*do̠ždž,,,,*do̠šč,,,,,,,,,,,,,do̠šš,,,do̠šš,,
дo̠лг,*dilgu,,,,,,,,,,,,,,,,,,,*dulgu,,,,,,,,*dъlgъ,,,,,,,*dъ2lgъ1,,,,,,,,,,,,,,*dъ2lg,,,,*dolg,*do̠lg,,,do̠lk,,,,,,,,,,,,,,,,do̠lk,,
дo̠лгий,*di̠l˙guju,,*di̠l˙guji,,,,,,,,,,,,,,,,,*du̠l˙guji,,,,,,,,*dъ̠l˙gъjь,,,,,,,*dъ̠2l˙gъ2jь1,,,*dъ̠2lgъ2jь1,,,,,,,,,,,*dъ̠2lgъ2j,,,,*do̠lgoj,,,,,,,,,,,,,,,do̠lgəj,,,,,do̠lgəj,,
должнu̠к,*dildžine̠jku,,,*dildžinẹ̠̄ku,,,*dildžinī̠ku,,,,,*dildžinīku̠,,,,,,,,*duldžinīku̠,,,,,,,,*dъldžьnīkъ̠,,,,*dъldžьnʼīkъ̠,,,*dъ2ldžь1nʼīkъ̠1,,*dъ2ldžь1nʼī̠kъ1,,,*dъ2lžь1nʼī̠kъ1,,,,,,,,,*dъ2lžnʼī̠k,,,,*dolžnʼī̠k,,,,,*dolżnʼī̠k,,,,,,,,*dolżnʼi̠k,,dʌlżnʼi̠k,,,,,dʌlżnʼi̠k,,
долo̠нь,*da̠l˙ni,,,,,,,,,,,,,,,,,,,,,,*dala̠ni,dolo̠ni,,,,*dolo̠nь,,,,*dolo̠nʼь,,,*dolo̠nʼь1,,,,,,,,,,*dolô̠nʼь1,,,,*dolô̠nʼ,,,,,,,,,,,,,,,,,,,*dʌlô̠nʼ,,,,dʌlo̠nʼ,dʌlo̠nʼ,,
долотo̠ (1),*da̠lta,,,,,,,,,,,*dalta̠,,,,,,,,,,,*dalata̠,*doloto̠,,,,,,,,,,,,,,,,,,,,,*dolotô̠,,,,,,,,,,,,,,,,,,,,,,,*dəlʌtô̠,,,,dəlʌto̠,dəlʌto̠,,Vor § 22 und § 23 entlehnt ist finn. taltta.
долотo̠ (2),*de̠lta,,,,,,,,,,,*delta̠,,,,,,,,*dalta̠,,,*dalata̠,*doloto̠,,,,,,,,,,,,,,,,,,,,,*dolotô̠,,,,,,,,,,,,,,,,,,,,,,,*dəlʌtô̠,,,,dəlʌto̠,dəlʌto̠,,Vor § 22 und § 23 entlehnt ist finn. taltta.
дo̠ску,duskān,,,,,,,,,,,,,,,*duskan,,,,,,,,*duskon,,*duskǭ,,*dъskǭ,*dъskǫ,,,,*dъskọ,,*dъ1skọ,,,,*dъ1sku,,,,,,,,,,*dsku,,,,*dosku,do̠sku,,,,,,,,,,,,,,,,,,,do̠sku,,
дрo̠жжи,*draždžjuj,,*draždžjij,*draždžī,,,,,,,,,,,,,,,,,,,,*droždžjī,,,,,*droždžji,*droždži,,,,,,,,,,,,,,,,,,,,,,,,*dro̠ždži,,,,,,,,,,,,,,,,dro̠žži,,,dro̠žži,,
ды̠м,*dū̠˙mu,,,,,,,,,,,,,,,,,*dȳ̠˙mu,,,,,,,,,,*dȳ̠˙mъ,,,,,,,*dȳ̠˙mъ1,,,*dȳ̠mъ1,,,,,,,,,,,*dȳ̠m,,,,,,,,,,,,,,,,,dy̠m,,,,,,,dy̠m,,
ельцa̠,*eli̠kā,*eli̠tˊā,*eli̠tˊē,,*eli̠tˊā,,,,,,,*elitˊā̠,,*elicʼā̠,,,,,,,,,,,*jelicʼā̠,,,*jelьcʼā̠,*jelьcʼa̠,,,*jelʼьcʼa̠,,,*jelʼь1cʼa̠,,,,,,,,,,,,,,*jelʼcʼa̠,,,,,,,,,,,,*jelʼca̠,,,,,,,jɪlʼca̠,,,,,jɪlʼca̠,,
e̠сть,*ē̠˙stēj,,,*ē̠˙stẹ̄,,,*ē̠˙stī,,,,,,,,,,,,,,,,,,*jē̠˙stī,,*jě̠̄˙stī,,*jě̠̄˙sti,,,*jě̠̄˙stʼi,,,,,,*jě̠̄stʼi,,,,,,,,,,,,,,,,,,,,,,,,*jě̠̄sʼtʼi,,,,*jě̠sʼtʼi,,,,,*je̠sʼtʼi,,je̠sʼtʼ,,
жa̠ль,*džē̠˙li,,,,*džā̠˙li,,,,,,,,,,,,,,,,,,,,,,,*džā̠˙lь,,,,*džā̠˙lʼь,,,*džā̠˙lʼь1,,,*džā̠lʼь1,,*žā̠lʼь1,,,,,,,,,*žā̠lʼ,,,,,,,,,*żā̠lʼ,,,,,,,,ża̠lʼ,,,,,,,ża̠lʼ,,
жa̠ть (1),*dže̠ntēj,,,*dže̠ntẹ̄,,,*dže̠ntī,,,,,*džentī̠,,,,,,,,,,,,,,*džę̄tī̠,,,*džę̄ti̠,,,*džę̄tʼi̠,*džātʼi̠,,,,,,,*žātʼi̠,,,,,,,,,,,,,,,,,,*żātʼi̠,,,,,,,,*żatʼi̠,,,,,,,ża̠tʼ,vgl. жмy̠,
жa̠ть (2),*dži̠ntēj,,,*dži̠ntẹ̄,,,*dži̠ntī,,,,,*džintī̠,,,,,,,,,,,,,,*džę̄tī̠,,,*džę̄ti̠,,,*džę̄tʼi̠,*džātʼi̠,,,,,,,*žātʼi̠,,,,,,,,,,,,,,,,,,*żātʼi̠,,,,,,,,*żatʼi̠,,,,,,,ża̠tʼ,vgl. жмy̠,
жвa̠чка,*zjuwā̠˙čikā˙,,*zjiwā̠˙čikā˙,,,,,,,,,,,,,,,,*žjiwā̠˙čikā˙,,,,,,,,,*žjьwā̠˙čьkā˙,*žjьwā̠˙čьka,*žьwā̠˙čьka,,,,,*žь1wā̠˙čь1ka,,,*žь1wā̠čь1ka,,,,,,,,,,,*žwā̠čka,,,,,,,*žvā̠čka,,*żvā̠čka,,,,,,,,*żva̠čka,,żva̠čkə,,,,,żva̠čkə,"vgl. жевa̠ть, жуё̠м und жуй",
жгy̠т,*džiga̠ntu,,,,,,,,,,,*džigantu̠,,,,,,,,,,,,*džigontu̠,,*džigǭtu̠,,*džьgǭtъ̠,,,,,*džьgọ̄tъ̠,,*džь1gọ̄tъ̠1,,*džь1gọ̠̄tъ1,,*džь1gū̠tъ1,*žь1gū̠tъ1,,,,,,,,,*žgū̠t,,,,,,,,,*żgū̠t,,,,,,,,żgu̠t,,,,,,,żgu̠t,,
жевa̠ть,*zjuwā̠˙tēj,,*zjiwā̠˙tēj,*zjiwā̠˙tẹ̄,,,*zjiwā̠˙tī,,,,,,,,,,,,*žjiwā̠˙tī,,,,,,,,,*žjьwā̠˙tī,*žjьwā̠˙ti,*žьwā̠˙ti,,*žьwā̠˙tʼi,,,*žь1wā̠˙tʼi,,,*žь1wā̠tʼi,,,,,,,,,,,*žwā̠tʼi,,,,*žewā̠tʼi,,,*ževā̠tʼi,,*żevā̠tʼi,,,,,,,,*żeva̠tʼi,,*żəva̠tʼi,,,,,żəva̠tʼ,"vgl. жуё̠м, жуй und жвa̠чка",
жезe̠ль,*dže̠zli,,,,,,,,,,,*džezli̠,,,,,,,,,,,,,,,,*džezlь̠,,,*džezьlь̠,*džezʼьlʼь̠,,,*džezʼь2lʼь̠1,,*džezʼь̠2lʼь1,,,*žezʼь̠2lʼь1,,,,,,,,,*žezʼь̠2lʼ,,,,*žezʼe̠lʼ,,,,,*żezʼe̠lʼ,,,,,,,,,,żəzʼe̠lʼ,,,,,żəzʼe̠lʼ,,
женa̠,*dže̠nā˙,,,,,,,,,,,*dženā̠˙,,,,,,,,,,,,,,,,,*džena̠,,,,,,,,,,,*žena̠,,,,,,,,,,,,,,,,,,*żena̠,,,,,,,,,,żəna̠,,,,,żəna̠,vgl. жe̠нский,
жe̠нский,*dže̠niskuju,,*dže̠niskuji,,,,,,,,,*dženi̠skuji,,,,,,,,,,,,,,,,*dženь̠skъjь,,,,*dženʼь̠skъjь,,,*dženʼь̠1skъ2jь1,,*dže̠nʼь1skъ2jь1,,,*že̠nʼь1skъ2jь1,,,,,,,,,*že̠nʼskъ2j,,,,*že̠nʼskoj,,,,,*że̠nʼskoj,,,,*że̠nskoj,,,,,,że̠nskəj,,,,,że̠nskəj,vgl. женa̠,
жеребe̠ц,*džerbi̠ku,*džerbi̠tˊu,*džerbi̠tˊi,,,,,,,,,*džerbitˊi̠,,*džerbicʼi̠,,,,,,,,,*džerebicʼi̠,,,,,*džerebьcʼь̠,,,,*džerʼebʼьcʼь̠,,,*džerʼebʼь2cʼь̠1,,*džerʼebʼь̠2cʼь1,,,*žerʼebʼь̠2cʼь1,,,,,,,,,*žerʼebʼь̠2cʼ,,,,*žerʼebʼe̠cʼ,,,,,*żerʼebʼe̠cʼ,,,*żerʼebʼe̠c,,,,,,,żərʼɪbʼe̠c,,,,,żərʼɪbʼe̠c,,
жерелo̠,*dže̠rdla,,,,,,,,,,,*džerdla̠,,,,,,,,,*džerla̠,,*džerela̠,*džerelo̠,,,,,,,,*džerʼelo̠,,,,,,,,*žerʼelo̠,,,,,*žerʼelô̠,,,,,,,,,,,,,*żerʼelô̠,,,,,,,,,,*żərʼɪlô̠,,,,żərʼɪlo̠,żərʼɪlo̠,,
жu̠в,*džī˙wu,,,,,,,,,,,,*džīwu,,,,,,,,,,,,,,,*džīwъ,,,,,,,*džīwъ1,,,,,*žīwъ1,,,,,,,,,*žīw,,,,,*žī̠w,,*žī̠v,*žī̠f,*żī̠f,,,,,*żȳ̠f,,,ży̠f,,,,,,,ży̠f,,
жu̠то,*dže̠j˙ta,,,*džẹ̠̄˙ta,,,*džī̠˙ta,,,,,,,,,,,,,,,,,*džī̠˙to,,,,,,,,,,,,,,*džī̠to,,*žī̠to,,,,,,,,,,,,,,,,,,*żī̠to,,,,,*żȳ̠to,,,*ży̠to,,ży̠tə,,,,,ży̠tə,,
жмy̠,*dži̠mān,,,,,,,,,,,*džimā̠n,,,,*džima̠n,,,,,,,,*džimo̠n,,*džimǭ̠,,*džьmǭ̠,*džьmǫ̠,,,,*džьmọ̠,,*džь1mọ̠,,,,*džь1mu̠,*žь1mu̠,,,,,,,,,*žmu̠,,,,,,,,,żmu̠,,,,,,,,,,,,,,,żmu̠,vgl. жa̠ть,
жмy̠рю,*mi̠džjaw˙rjān,,*mi̠džjew˙rjēn,*mi̠džjọ̄˙rjēn,*mi̠džjọ̄˙rjān,,,,,,,*midžjọ̠̄˙rjān,,,,*midžjọ̠̄˙rjan,,,midžjọ̠̄˙rʼjan,,,,,*midžjọ̠̄˙rʼjon,,*midžjọ̠̄˙rʼjǭ,,*mьdžjọ̠̄˙rʼjǭ,*mьdžjọ̠̄˙rʼjǫ,*mьdžọ̠̄˙rʼǫ,,*mʼьdžọ̠̄˙rʼǫ,*mʼьdžọ̠̄˙rʼọ,,*mʼь1džọ̠̄˙rʼọ,,,*mʼь1džọ̠̄rʼọ,*mʼь1džū̠rʼu,*mʼь1žū̠rʼu,,,,,,,,,*mʼžū̠rʼu,,,,,,,,,*mʼżū̠rʼu,,,,*mżū̠rʼu,,,,*mżu̠rʼu,,,,,,,żmu̠rʼu,,
жуё̠м (1),*zjew˙je̠mu,,,*zjọ̄˙je̠mu,,,,,,,,*zjọ̄˙jemu̠,*zjọ̄jemu̠,,,,,,*žjọ̄jemu̠,,,,,,,,,*žjọ̄jemъ̠,,*žọ̄jemъ̠,,,,,*žọ̄jemъ̠1,,*žọ̄je̠mъ1,,*žūje̠mъ1,,,,,,,,,,*žūje̠m,,,,,,,,,*żūje̠m,,*żūjo̠m,,,,,,żujo̠m,,,,,,,żujo̠m,"vgl. жевa̠ть, жуй und жвa̠чка",
жуё̠м (2),*zjaw˙je̠mu,*zjew˙je̠mu,,*zjọ̄˙je̠mu,,,,,,,,*zjọ̄˙jemu̠,*zjọ̄jemu̠,,,,,,*žjọ̄jemu̠,,,,,,,,,*žjọ̄jemъ̠,,*žọ̄jemъ̠,,,,,*žọ̄jemъ̠1,,*žọ̄je̠mъ1,,*žūje̠mъ1,,,,,,,,,,*žūje̠m,,,,,,,,,*żūje̠m,,*żūjo̠m,,,,,,żujo̠m,,,,,,,żujo̠m,"vgl. жевa̠ть, жуй und жвa̠чка",
жy̠й (1),*zjew˙ju̠j,,*zjew˙ji̠j,*zjọ̄˙jī̠,,,,,,,,,*zjọ̄jī̠,,,,,,*žjọ̄jī̠,,,,,,,,,,*žjọ̄ji̠,*žọ̄ji̠,,,,,,,,,*žūji̠,,,,*žūi̠,*žū̠j,,,,,,,,,,,,,,*żū̠j,,,,,,,,żu̠j,,,,,,,żu̠j,"vgl. жевa̠ть, жуём und жвa̠чка",
жy̠й (2),*zjaw˙ju̠j,,*zjew˙ji̠j,*zjọ̄˙jī̠,,,,,,,,,*zjọ̄jī̠,,,,,,*žjọ̄jī̠,,,,,,,,,,*žjọ̄ji̠,*žọ̄ji̠,,,,,,,,,*žūji̠,,,,*žūi̠,*žū̠j,,,,,,,,,,,,,,*żū̠j,,,,,,,,żu̠j,,,,,,,żu̠j,"vgl. жевa̠ть, жуём und жвa̠чка",
жупa̠н,*džawpā̠nu,,*džewpā̠nu,*džọ̄pā̠nu,,,,,,,,*džọ̄pānu̠,,,,,,,,,,,,,,,,*džọ̄pānъ̠,,,,,,,*džọ̄pānъ̠1,,*džọ̄pā̠nъ1,,*džūpā̠nъ1,*žūpā̠nъ1,,,,,,,,,*žūpā̠n,,,,,,,,,*żūpa̠n,,,,,,,,żupa̠n,,,,,,,żupa̠n,,
зa̠втра,*zā ja̠w˙trā,,*zā je̠w˙trā,*zā jọ̠̄˙trā,,,,,,,,,,,,,,,,,,,,,,,,,*zā jọ̠̄˙tra,,,,,,,,,*zā jọ̠̄tra,*zā jū̠tra,,,*zā ū̠tra,,*zā̠ wtra,,,,,,,,,,,,*zā̠vtra,*zā̠ftra,,,,,,,,,*za̠ftra,,za̠ftrə,,,,,za̠ftrə,,
зa̠яц,*zā̠˙jinku,*zā̠˙jintˊu,*zā̠˙jintˊi,,,,,,,,,,,*zā̠˙jincʼi,,,,,,,,,,,,*zā̠˙ję̄cʼi,,*zā̠˙ję̄cʼь,,,,,*zā̠˙jācʼь,,*zā̠˙jācʼь1,,,*zā̠jācʼь1,,,,,,,,,,,*zā̠jācʼ,,,,,,,,,,,,*zā̠jāc,,,,,*za̠jac,,za̠jɪc,,,,,za̠jɪc,,
звездa̠,*gwa̠jzdā˙,,,*gwē̠zdā˙,,,,*dˊwē̠zdā˙,,,,*dˊwēzdā̠˙,,*dzʼwēzdā̠˙,,,,,,,,,,,,,*dzʼwě̄zdā̠˙,,*dzʼwě̄zda̠,,,*dzʼwʼě̄zda̠,,,,,,,,,,,,,,,*zʼwʼě̄zda̠,,,,,,,,,*zʼvʼě̄zda̠,,,,,,,,,,*zʼvʼězda̠,,zʼvʼɪzda̠,,,,,zʼvʼɪzda̠,,
земe̠ль,*zemju̠,,*zemji̠,,,,,,*zemlji̠,,,,,,,,,,*zemlˊji̠,,,,,,,,,*zemlˊjь̠,,*zemlˊь̠,*zemьlˊь̠,*zʼemʼьlˊь̠,,,*zʼemʼь2lˊь̠1,,*zʼemʼь̠2lˊь1,,,,,,,,,,,,*zʼemʼь̠2lˊ,,,*zʼemʼь̠2lʼ,*zʼemʼe̠lʼ,,,,,,,,,,,,,,,zʼɪmʼe̠lʼ,,,,,zʼɪmʼe̠lʼ,"vgl. земля̠, зe̠млю",
земля̠,*zemjā̠˙,,*zemjē̠˙,,*zemjā̠˙,,,,*zemljā̠˙,,,,,,,,,,*zemlˊjā̠˙,,,,,,,,,,*zemlˊja̠,*zemlˊa̠,,*zʼemlˊa̠,,,,,,,,,,,,,,,,,,,,*zʼemlʼa̠,,,,,,,,,,,,,,,,zʼɪmlʼa̠,,,,,zʼɪmlʼa̠,"vgl. земe̠ль, зe̠млю",
зe̠млю,*zemjān,,*zemjēn,,*zemjān,,,,*zemljān,,,,,,,*zemljan,,,*zemlˊjan,,,,,*zemlˊjon,,zemlˊjǭ,,,*zemlˊjǫ,*zemlˊǫ,,*zʼemlˊǫ,*zʼemlˊọ,,,,,,*zʼemlˊu,,,,,,,,,,,,,*zʼemlʼu,,zʼe̠mlʼu,,,,,,,,,,,,,,,,,,,zʼe̠mlʼu,"vgl. земe̠ль, земля̠",
зимa̠,*zejmā̠˙,,,*zẹ̄mā̠˙,,,*zīmā̠˙,,,,,,,,,,,,,,,,,,,,,,*zīma̠,,,*zʼīma̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zʼima̠,,,,,,,zʼima̠,"vgl. зи̠му, зимy̠сь",
зu̠му,*zejmān,,,*zẹ̄mān,,,*zīmān,,,,,,,,,*zīman,,,,,,,,*zīmon,,*zīmǭ,,,*zīmǫ,,,*zʼīmǫ,*zʼīmọ,,,,,,*zʼīmu,,,,,,,,,,,,,,,*zʼī̠mu,,,,,,,,,,,,zʼi̠mu,,,,,,,zʼi̠mu,"vgl. зимa̠, зимy̠сь",
зимy̠сь,*zejmā̠n si,,,*zẹ̄mā̠n si,,,*zīmā̠n si,,,,,*zīmān si̠,,,,*zīman si̠,,,,,,,,*zīmon si̠,,*zīmǭ si̠,,*zīmǭ sь̠,,,,*zʼīmǭ sʼь̠,*zʼīmọ̄ sʼь̠,,*zʼīmọ̄ sʼь̠1,,*zʼīmọ̠̄ sʼь1,,*zʼīmū̠ sʼь1,,,,,,,,,,*zʼīmū̠ sʼ,,,,,,,,,,,,,,,,,zʼimu̠sʼ,,,,,,,zʼimu̠sʼ,"vgl. зимa̠, зи̠му",
знa̠ют,*znā̠˙janti,,*znā̠˙jenti,,,,,,,,,,,,,,,,,,,,,*znā̠˙jonti,,*znā̠˙jǭti,,*znā̠˙jǭtь,,,,*znā̠˙jǭtʼь,*znā̠˙jọ̄tʼь,,*znā̠˙jọ̄tʼь1,,,*znā̠jọ̄tʼь1,*znā̠jūtʼь1,,,,,,,,,,*znā̠jūtʼ,,,,,,,,,,,,,,,,,zna̠jut,,,,,,,zna̠jut,,
зy̠б,*zambu,,,,,,,,,,,,,,,,,,,,,,,*zombu,,*zǭbu,,*zǭbъ,,,,,*zọ̄bъ,,*zọ̄bъ1,,,,*zūbъ1,,,,,,,,,,*zūb,,,,,*zū̠b,,,*zū̠p,,,,,,,,,zu̠p,,,,,,,zu̠p,,
зя̠ть,*ze̠n˙ti,,,,,,,,,,,,,,,,,,,,,,,,,*zę̠̄˙ti,,*zę̠̄˙tь,,,,*zʼę̠̄˙tʼь,*zʼa̠˙tʼь,,*zʼā̠˙tʼь1,,,*zʼā̠tʼь1,,,,,,,,,,,*zʼā̠tʼ,,,,,,,,,,,,,,,,,zʼa̠tʼ,,,,,,,zʼa̠tʼ,,
u̠вa,*e̠j˙wā˙,,,*ī̠˙wā˙,,,,,,,,,*ī̠˙wā,,,,,,,,,,,,*jī̠˙wā,,,,*jī̠˙wa,,,,,,,,,*jī̠wa,,,,*ī̠wa,,,,,,,,,,,,,,*ī̠va,,,,,,,,,,*i̠va,,i̠və,,,,,i̠və,,
иглa̠,*jugulā̠˙,,*jigulā̠˙,,,,,,,,,,,,,,,,,,,,,,,,,*jьgъlā̠˙,*jьgъla̠,,,,,*igъla̠,*igъ1la̠,,,,,,,,,,,,,,igla̠,,,,,,,,,,,,,,,,,,,,,,,,igla̠,,
u̠го,*juga,,*jiga,,,,,,,,,,,,,,,,,,,,,*jigo,,,,*jьgo,,,,,,*igo,,,,,,,,,,,,,,,,,,,,*i̠go,,,,,,,,,,,,,,i̠gə,,,,,i̠gə,,
игрa̠,*i̠grā˙,,,,,,,,,,,*igrā̠˙,,,,,,,,,,,,,*jigrā̠˙,,,*jьgrā̠˙,*jьgra̠,,,,,igra̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,igra̠,,
u̠х,*ja̠jxu,,*je̠jxu,*jẹ̠̄xu,,,*jī̠xu,,,,,*jīxu̠,,,,,,,,,,,,,,,,*jīxъ̠,,,,,,,*jīxъ̠1,,*jī̠xъ1,,,,,*ī̠xъ1,,,,,,,*ī̠x,,,,,,,,,,,,,,,,,i̠x,,,,,,,i̠x,,
кa̠мень,*kā̠˙meni,,,,,,,,,,,,,,,,,,,,,,,,,,,*kā̠˙menь,,,,*kā̠˙mʼenʼь,,,*kā̠˙mʼenʼь1,,,*kā̠mʼenʼь1,,,,,,,,,,,*kā̠mʼenʼ,,,,,,,,,,,,,,,,,*ka̠mʼenʼ,,ka̠mʼɪnʼ,,,,,ka̠mʼɪnʼ,,
кa̠пель,*kā̠˙pju,,*kā̠˙pji,,,,,,*kā̠˙plji,,,,,,,,,,*kā̠˙plˊji,,,,,,,,,*kā̠˙plˊjь,,*kā̠˙plˊь,*kā̠˙pьlˊь,*kā̠˙pʼьlˊь,,,*kā̠˙pʼь2lˊь1,,,*kā̠pʼь2lˊь1,,,,,,,,,,,*kā̠pʼь2lˊ,,,*kā̠pʼь2lʼ,*kā̠pʼelʼ,,,,,,,,,,,,,*ka̠pʼelʼ,,ka̠pʼɪlʼ,,,,,ka̠pʼɪlʼ,,
кисe̠ль,*kū˙se̠lju,,*kū˙se̠lji,,,,,,,,,*kū˙selji̠,*kūselji̠,,,,,*kȳselji̠,*kȳselˊji̠,,,,,,,,,*kȳselˊjь̠,,*kȳselˊь̠,,*kȳsʼelˊь̠,,,*kȳsʼelˊь̠1,,*kȳsʼe̠lˊь1,,,,,,,,,,,,*kȳsʼe̠lˊ,,,*kȳsʼe̠lʼ,,,,,,,,,,,,*kīsʼe̠lʼ,*kʼīsʼe̠lʼ,kʼisʼe̠lʼ,,,,,,,kʼisʼe̠lʼ,,
кня̠зь,*kuningu,*kunińdˊu,*kunińdˊi,,,,,,,,,,,*kunińdzʼi,,,,,,,,,,,,*kunę̄dzʼi,,*kъnę̄dzʼь,,,,*kъnʼę̄dzʼь,*kъnʼādzʼь,,*kъ1nʼādzʼь1,,,,,,,,,,,,*kъ1nʼāzʼь1,,*knʼāzʼ,,,,,*knʼā̠zʼ,,,*knʼā̠sʼ,,,,,,,,,knʼa̠sʼ,,,,,,,knʼa̠sʼ,,
кo̠жа,*ka̠zjā˙,,*ka̠zjē˙,,*ka̠zjā˙,,,,,,,*kazjā̠˙,,,,,,,*kažjā̠˙,,,,,*kožjā̠˙,,,,,*kožja̠,*kožā̠,,,,,,*ko̠žā,,,,,,,,,*kô̠žā,,,,,,,,,,,,,*kô̠żā,,,,,,,,*kô̠ża,,*kô̠żə,,,,ko̠żə,ko̠żə,,
кo̠лем,*ka̠ljemu,,,,,,,,,,,*kalje̠mu,,,,,,,*kalˊje̠mu,,,,,kolˊje̠mu,,,,*kolˊje̠mъ,,*kolˊē̠mъ,,,,,*kolˊē̠mъ1,*ko̠lˊēmъ1,,,,,,,,,*kô̠lˊēmъ1,,,,*kô̠lˊēm,,,*kô̠lʼēm,,,,,,,,,,,,,,*kô̠lʼem,,*kô̠lʼɪm,,,,ko̠lʼɪm,ko̠lʼɪm,vgl. колo̠ть,
